# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
1000 372.978 174.703 0.67534 1040.2 964.175 76.0286 2.25774 -2.25774e-05
2000 373.721 146.304 0.67534 1045.02 966.095 78.9281 -16.5025 0.000165025
3000 372.624 94.7491 0.67534 1038.75 963.261 75.4858 -1.29702 1.29702e-05
4000 373.282 131.027 0.67534 1046.51 964.961 81.5518 -59.4832 0.000594832
5000 373.613 143.379 0.67534 1052.17 965.816 86.3519 -59.1781 0.000591781
6000 372.926 133.783 0.67534 1051.53 964.041 87.489 4.94961 -4.94961e-05
7000 373.01 72.6539 0.67534 1054.54 964.258 90.2845 2.21418 -2.21418e-05
8000 372.95 73.2896 0.67534 1054.68 964.103 90.5737 -18.6751 0.000186751
9000 373.083 97.5747 0.67534 1057.93 964.448 93.4794 -21.5175 0.000215175
10000 373.63 66.0662 0.67534 1054.66 965.861 88.8011 -28.8657 0.000288657
11000 372.984 87.9035 0.67534 1055.78 964.192 91.5893 -16.4163 0.000164163
12000 372.882 67.4635 0.67534 1057.73 963.927 93.8024 -34.31 0.0003431
13000 373.292 43.0626 0.67534 1059.43 964.988 94.4431 -27.604 0.00027604
14000 372.978 75.8521 0.67534 1065.09 964.174 100.918 -56.386 0.00056386
15000 373.499 80.3129 0.67534 1062.1 965.523 96.5788 -44.2738 0.000442738
16000 373.163 59.5522 0.67534 1063.95 964.653 99.2975 -6.01803 6.01803e-05
17000 372.954 54.744 0.67534 1060.14 964.115 96.0225 -20.0421 0.000200421
18000 373.253 74.1704 0.67534 1066.67 964.888 101.786 -21.3434 0.000213434
19000 373.008 56.1561 0.67534 1061.69 964.254 97.4401 -3.14415 3.14415e-05
20000 373.045 26.0655 0.67534 1059.06 964.348 94.7151 -14.3873 0.000143873
21000 373.121 84.035 0.67534 1062.75 964.544 98.2083 2.67965 -2.67965e-05
22000 373.451 64.8301 0.67534 1066.33 965.398 100.929 -16.7188 0.000167188
23000 373.212 24.5403 0.67534 1062.31 964.78 97.5347 -2.90025 2.90025e-05
24000 372.991 21.1249 0.67534 1061 964.208 96.7923 -9.31502 9.31502e-05
25000 373.218 27.379 0.67534 1062.28 964.797 97.4826 -10.6489 0.000106489
26000 373.025 25.8458 0.67534 1058.65 964.298 94.3479 -25.2334 0.000252334
27000 373.289 24.3036 0.67534 1060.67 964.981 95.6906 -24.9818 0.000249818
28000 372.985 54.246 0.67534 1061.18 964.193 96.9841 -17.2143 0.000172143
29000 373.137 41.9635 0.67534 1066.64 964.586 102.053 -44.1638 0.000441638
30000 373.16 -19.0005 0.67534 1068.28 964.646 103.632 6.82726 -6.82726e-05
31000 373.397 8.04147 0.67534 1070.36 965.258 105.106 -29.5431 0.000295431
32000 372.796 -18.0442 0.67534 1063.86 963.706 100.151 -39.235 0.00039235
33000 373.548 15.02 0.67534 1069.19 965.65 103.541 -39.5813 0.000395813
34000 372.807 34.3754 0.67534 1064.87 963.734 101.133 -34.1123 0.000341123
35000 373.088 -6.4793 0.67534 1062.32 964.459 97.8656 -33.5034 0.000335034
36000 373.249 11.6024 0.67534 1062.56 964.875 97.6823 -29.81 0.0002981
37000 373.078 28.4125 0.67534 1063.7 964.434 99.2686 -45.832 0.00045832
38000 373.209 53.7808 0.67534 1062.89 964.774 98.1115 -14.6058 0.000146058
39000 373.231 62.3282 0.67534 1062.88 964.83 98.0496 -14.863 0.00014863
40000 373.011 43.9497 0.67534 1061.82 964.261 97.5617 -41.8949 0.000418949
41000 373.451 34.2024 0.67534 1065.47 965.398 100.072 -12.525 0.00012525
42000 372.97 33.9106 0.67534 1063.63 964.155 99.4785 -2.06509 2.06509e-05
43000 373.058 18.7195 0.67534 1060.58 964.383 96.1994 -16.627 0.00016627
44000 373.261 29.5155 0.67534 1065.2 964.908 100.29 2.90653 -2.90653e-05
45000 373.276 73.9769 0.67534 1064.29 964.946 99.3447 -18.3696 0.000183696
46000 373.095 44.48 0.67534 1064.88 964.477 100.401 -24.4696 0.000244696
47000 373.04 33.1848 0.67534 1062.04 964.335 97.7076 -24.2896 0.000242896
48000 373.37 32.8239 0.67534 1067.99 965.189 102.801 -26.7595 0.000267595
49000 372.952 -0.0159168 0.67534 1062.31 964.109 98.204 -12.5928 0.000125928
50000 373.046 -22.5375 0.67534 1067.07 964.352 102.722 -19.3977 0.000193977
51000 373.245 1.54714 0.67534 1068.38 964.865 103.514 -42.1212 0.000421212
52000 373.157 -4.77122 0.67534 1068.11 964.639 103.471 -15.2982 0.000152982
53000 372.958 31.4199 0.67534 1065.3 964.123 101.177 -10.7757 0.000107757
54000 373.321 67.0201 0.67534 1069.23 965.064 104.171 13.2762 -0.000132762
55000 373.285 50.6678 0.67534 1067.7 964.968 102.728 -39.073 0.00039073
56000 373.019 33.7563 0.67534 1066.44 964.282 102.162 -40.2446 0.000402446
57000 373.093 -7.61746 0.67534 1062.58 964.474 98.1059 -1.30053 1.30053e-05
58000 373.077 3.45288 0.67534 1065.78 964.432 101.351 -29.2757 0.000292757
59000 373.405 16.8758 0.67534 1068.72 965.279 103.442 -44.1749 0.000441749
60000 373.219 51.2874 0.67534 1064.96 964.798 100.162 -12.2814 0.000122814
61000 372.846 57.2282 0.67534 1063.75 963.833 99.9168 -2.90033 2.90033e-05
62000 373.152 63.0435 0.67534 1064.84 964.625 100.212 -18.9433 0.000189433
63000 373.201 10.0457 0.67534 1065.66 964.753 100.906 -40.6113 0.000406113
64000 373.096 -29.553 0.67534 1061.61 964.48 97.1345 -34.6835 0.000346835
65000 373.491 54.3158 0.67534 1066.49 965.501 100.991 -12.393 0.00012393
66000 372.994 -16.4314 0.67534 1059.4 964.216 95.1869 -24.3947 0.000243947
67000 372.966 55.694 0.67534 1060.65 964.145 96.5102 15.7688 -0.000157688
68000 373.278 -12.6207 0.67534 1064.01 964.951 99.063 -17.5201 0.000175201
69000 373.026 10.1252 0.67534 1060.25 964.299 95.9509 -16.1072 0.000161072
70000 373.248 43.9246 0.67534 1066.86 964.874 101.983 -14.5442 0.000145442
71000 373.115 18.3884 0.67534 1061.07 964.531 96.5385 -9.21197 9.21197e-05
72000 373.384 30.7177 0.67534 1063.48 965.226 98.2531 24.5468 -0.000245468
73000 373.185 12.6124 0.67534 1062.23 964.711 97.523 -17.4458 0.000174458
74000 373.118 -14.6021 0.67534 1066.31 964.537 101.777 -6.0297 6.0297e-05
75000 373.156 -15.5248 0.67534 1060.39 964.637 95.7545 -1.65959 1.65959e-05
76000 373.03 47.7278 0.67534 1060.91 964.311 96.5989 -11.1639 0.000111639
77000 373.391 -15.5433 0.67534 1061.63 965.242 96.3839 -23.3723 0.000233723
78000 372.698 -24.3145 0.67534 1056.85 963.452 93.3942 -14.6554 0.000146554
