# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
1000 373.286 1229.83 0.76028 942.939 964.972 -22.0323 -29.5002 0.000295002
2000 373.08 1144.42 0.76028 938.466 964.439 -25.9722 -26.2875 0.000262875
3000 373.199 1162.2 0.76028 940.652 964.748 -24.0957 -32.8664 0.000328664
4000 373.064 1147.6 0.76028 945.293 964.398 -19.1051 26.488 -0.00026488
5000 373.045 1115.65 0.76028 946.31 964.349 -18.0387 -27.2369 0.000272369
6000 373.181 1116.25 0.76028 947.762 964.701 -16.9389 7.94004 -7.94004e-05
7000 373.188 1130.12 0.76028 950.39 964.717 -14.3273 -5.21782 5.21782e-05
8000 373.489 1160.68 0.76028 954.703 965.496 -10.7927 -53.9498 0.000539498
9000 372.777 1145.39 0.76028 952.369 963.655 -11.2861 -12.8439 0.000128439
10000 373.298 1137.79 0.76028 952.856 965.002 -12.1455 -45.0138 0.000450138
11000 373.034 1083.19 0.76028 952.597 964.32 -11.7231 -36.3262 0.000363262
12000 373.076 1082.15 0.76028 951.723 964.429 -12.706 2.89297 -2.89297e-05
13000 373.295 1089.6 0.76028 955.331 964.996 -9.66511 -67.6332 0.000676332
14000 372.948 1116.77 0.76028 951.369 964.097 -12.7288 -56.6462 0.000566462
15000 373.06 1123.56 0.76028 953.265 964.387 -11.1211 -11.7734 0.000117734
16000 373.326 1087.04 0.76028 957.092 965.074 -7.9817 -72.2644 0.000722644
17000 373.45 1058.99 0.76028 958.021 965.396 -7.37505 -21.6261 0.000216261
18000 373.02 1074.44 0.76028 953.798 964.284 -10.486 -4.45172 4.45172e-05
19000 372.858 1111.98 0.76028 953.645 963.864 -10.2194 -31.8674 0.000318674
20000 373.276 1102.94 0.76028 953.522 964.946 -11.4243 -30.1207 0.000301207
21000 373.526 1145.44 0.76028 957.188 965.591 -8.40288 -49.5498 0.000495498
22000 372.607 1124.35 0.76028 958.745 963.216 -4.47081 -42.163 0.00042163
23000 373.198 1104.74 0.76028 962.442 964.743 -2.30148 -43.6113 0.000436113
24000 373.703 1102.97 0.76028 959.096 966.049 -6.95305 -14.0355 0.000140355
25000 372.79 1057.19 0.76028 952.039 963.689 -11.6501 -87.7021 0.000877021
26000 373.181 1112.1 0.76028 959.676 964.7 -5.02408 -56.4326 0.000564326
27000 372.835 1097.56 0.76028 958.444 963.806 -5.3619 -63.9098 0.000639098
28000 373.486 1041.49 0.76028 959.357 965.49 -6.13302 -33.2593 0.000332593
29000 373.064 1067.99 0.76028 959.825 964.398 -4.573 -87.8407 0.000878407
30000 373.142 1063.87 0.76028 963.426 964.599 -1.1722 -100.424 0.00100424
31000 373.155 1092.76 0.76028 964.702 964.634 0.0685371 -60.8858 0.000608858
