# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t[ps] msd[Å]
0.0 1.1095693253082487e-13
5.0 3.151074467821116
10.0 6.4725607700875925
15.0 9.818207723120501
20.0 13.160439632920486
25.0 16.51752189299465
30.0 19.851378268422213
35.0 23.186697993152965
40.0 26.512998112775904
45.0 29.843722994394206
50.0 33.174103693997075
55.0 36.49626859871284
60.0 39.81303906194676
65.0 43.109318694060725
70.0 46.4250487380588
75.0 49.746874892993375
80.0 53.05863843077738
85.0 56.38038383652959
90.0 59.71144433846157
95.0 63.04798723973012
100.0 66.37061722426697
105.0 69.70806612343785
110.0 73.03699732899621
115.0 76.36348476822404
120.0 79.70997290050816
125.0 83.03431151676217
130.0 86.37841310419962
135.0 89.7125718239455
140.0 93.05500600514917
145.0 96.38697796296886
150.0 99.72088767540633
155.0 103.05102065768749
160.0 106.40943856287105
165.0 109.74155858166677
170.0 113.07612014591518
175.0 116.41370016986025
180.0 119.79087738671613
185.0 123.1734515539479
190.0 126.5615145330291
195.0 129.95132338741556
200.0 133.34280842823074
205.0 136.74596417416888
210.0 140.12688009802088
215.0 143.52772858240144
220.0 146.93654644991702
225.0 150.35444638378576
230.0 153.77963774600565
235.0 157.2399989070596
240.0 160.71456942214192
245.0 164.18889653362115
250.0 167.71539805769282
255.0 171.2363838286819
260.0 174.74735064751562
265.0 178.26653048532614
270.0 181.78411411390178
275.0 185.2983220805071
280.0 188.83245485675724
285.0 192.37981859599293
290.0 195.93956544844838
295.0 199.49577477636572
300.0 203.09295147851788
305.0 206.68535551148838
310.0 210.30528472515587
315.0 213.92766282065017
320.0 217.51915556486972
325.0 221.10510881534123
330.0 224.7328196787056
335.0 228.36325296835395
340.0 232.02247366634958
345.0 235.72193777245198
350.0 239.43249797453547
355.0 243.1769893279248
360.0 246.97905884238625
365.0 250.80014761399374
370.0 254.6373987451114
375.0 258.5260198715445
380.0 262.46291143374594
385.0 266.4380162422606
390.0 270.44755283214886
395.0 274.60386702399205
400.0 278.8372289168328
405.0 283.12184628360217
410.0 287.52366354641106
415.0 292.0900523472307
420.0 296.7993394857374
425.0 301.5670687904232
430.0 306.5153856520719
435.0 311.5705338377372
440.0 316.8519150428776
445.0 322.5387805179878
450.0 328.4740463608381
455.0 335.0690240143315
460.0 342.28827941417387
465.0 350.42289734344047
470.0 360.2038718860595
475.0 372.02752579557745
480.0 387.09054381465967
485.0 407.6183306923084
490.0 440.0252685099339
495.0 500.47272408246124
500.0 675.1776034052267
