# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t λ(t) ACF_λ
# ps W/(m*K) eV^2/(Å^4*ps)
0.0 0.0 0.024049180875677936
0.005 4.385453563341021e6 0.02388969837242333
0.01 8.714799768208649e6 0.023435852323924495
0.015 1.2937394884000245e7 0.022722766036941067
0.02 1.7010517356794488e7 0.021801916203053665
0.025 2.090161777162913e7 0.020733021229252493
0.03 2.4589095240562536e7 0.019576044768157927
0.035 2.8061765091479395e7 0.018384886352681335
0.04 3.131739278490464e7 0.0172034833832383
0.045 3.436073218286515e7 0.016064291044789264
0.05 3.720145727336052e7 0.014988637716942607
0.055 3.985226862121687e7 0.013988279557166274
0.06 4.232733541087931e7 0.013067514386806664
0.065 4.4641130420418404e7 0.012225363069327809
0.07 4.680764171430754e7 0.011457506172655878
0.075 4.883990243727276e7 0.01075782457745857
0.08 5.074976319824907e7 0.01011951070354319
0.085 5.254783222308466e7 0.009535791220499915
0.09 5.424351946222809e7 0.009000340704226556
0.095 5.584513623708618e7 0.00850747509240336
0.1 5.736001738185952e7 0.008052204134753002
0.105 5.8794645658076145e7 0.0076302037863710485
0.11 6.0154767524009e7 0.007237749311730003
0.115 6.144549541160183e7 0.006871634689666718
0.12 6.267139545885609e7 0.0065290942171039885
0.125 6.383656206912159e7 0.006207736905760584
0.13 6.494468192285447e7 0.005905496786776052
0.135 6.5999090013447806e7 0.005620595418535315
0.14 6.7002819122278735e7 0.005351507660670149
0.145 6.795864291197975e7 0.005096926138737078
0.15 6.886911268593977e7 0.004855727542917036
0.155 6.973658899333945e7 0.004626949984136099
0.16 7.056327079461183e7 0.004409788970091374
0.165 7.13512255210278e7 0.004203611203241459
0.17 7.210242226943073e7 0.004007975054172839
0.17500000000000002 7.281876767320135e7 0.0038226393430124757
0.18 7.350214057866491e7 0.0036475414999210054
0.185 7.415441893068291e7 0.003482734240525484
0.19 7.477749163087204e7 0.0033282846212032593
0.195 7.537325024210522e7 0.003184154676676411
0.2 7.594355976054911e7 0.0030500919625445874
0.20500000000000002 7.649021293358247e7 0.0029255591472292382
