# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
0 1.05376 0.509723 0.726 -3.42459 1.58032 -5.00492
20 1.06458 0.478161 0.726 -3.41852 1.59655 -5.01507
40 1.06755 0.491488 0.726 -3.40972 1.60101 -5.01072
60 1.07134 0.5115 0.726 -3.39928 1.60668 -5.00596
80 1.08094 0.509968 0.726 -3.38877 1.62108 -5.00985
100 1.08581 0.522701 0.726 -3.38012 1.62839 -5.00851
120 1.08728 0.538759 0.726 -3.37391 1.63059 -5.0045
140 1.09329 0.523518 0.726 -3.36984 1.6396 -5.00944
160 1.09899 0.500807 0.726 -3.36797 1.64816 -5.01613
180 1.09515 0.513906 0.726 -3.36843 1.6424 -5.01083
200 1.08534 0.549412 0.726 -3.37053 1.62768 -4.99821
220 1.07997 0.563728 0.726 -3.3732 1.61963 -4.99283
240 1.08028 0.553106 0.726 -3.37583 1.62009 -4.99593
260 1.08184 0.537116 0.726 -3.37855 1.62244 -5.00099
280 1.07863 0.539202 0.726 -3.38151 1.61762 -4.99913
300 1.08149 0.514081 0.726 -3.38461 1.62191 -5.00652
320 1.08033 0.504573 0.726 -3.38821 1.62017 -5.00839
340 1.07272 0.521737 0.726 -3.39234 1.60876 -5.0011
360 1.07017 0.518895 0.726 -3.39645 1.60494 -5.00139
380 1.0655 0.526187 0.726 -3.40033 1.59794 -4.99826
400 1.06313 0.525233 0.726 -3.4036 1.59438 -4.99798
420 1.06393 0.511902 0.726 -3.40593 1.59558 -5.0015
440 1.06761 0.488591 0.726 -3.40706 1.60109 -5.00815
460 1.07141 0.468419 0.726 -3.40693 1.60679 -5.01371
480 1.07049 0.470293 0.726 -3.40545 1.60541 -5.01086
500 1.0761 0.447057 0.726 -3.40226 1.61382 -5.01609
520 1.08719 0.404073 0.726 -3.39776 1.63045 -5.02822
540 1.0981 0.365305 0.726 -3.3933 1.64681 -5.04011
560 1.10093 0.363248 0.726 -3.39043 1.65106 -5.04149
580 1.09372 0.403576 0.726 -3.3898 1.64025 -5.03005
600 1.08467 0.447458 0.726 -3.39086 1.62668 -5.01754
620 1.07806 0.474604 0.726 -3.39269 1.61676 -5.00945
640 1.07602 0.478555 0.726 -3.39459 1.61371 -5.00829
660 1.07363 0.481966 0.726 -3.39621 1.61012 -5.00634
680 1.075 0.468987 0.726 -3.39733 1.61218 -5.00951
700 1.07948 0.445748 0.726 -3.39802 1.61889 -5.01691
720 1.07558 0.462082 0.726 -3.39865 1.61305 -5.0117
740 1.07695 0.459902 0.726 -3.3989 1.6151 -5.014
760 1.07974 0.452235 0.726 -3.39881 1.61929 -5.01809
780 1.07925 0.458446 0.726 -3.39862 1.61855 -5.01718
800 1.07384 0.484467 0.726 -3.39823 1.61044 -5.00867
820 1.07314 0.489909 0.726 -3.39701 1.60938 -5.00639
840 1.08029 0.461631 0.726 -3.39463 1.6201 -5.01474
860 1.09009 0.423944 0.726 -3.39173 1.63481 -5.02654
880 1.09149 0.425898 0.726 -3.38936 1.6369 -5.02627
900 1.08496 0.465354 0.726 -3.38792 1.62711 -5.01503
920 1.07307 0.528197 0.726 -3.38678 1.60928 -4.99606
940 1.06853 0.559203 0.726 -3.38459 1.60248 -4.98706
960 1.07477 0.54508 0.726 -3.38052 1.61183 -4.99235
980 1.07944 0.540157 0.726 -3.37491 1.61884 -4.99375
1000 1.08151 0.549208 0.726 -3.36829 1.62194 -4.99023
1020 1.09144 0.526912 0.726 -3.3612 1.63683 -4.99803
1040 1.09649 0.524464 0.726 -3.35494 1.64441 -4.99935
1060 1.09471 0.548764 0.726 -3.35037 1.64174 -4.9921
1080 1.09639 0.553229 0.726 -3.34742 1.64425 -4.99167
1100 1.0995 0.542288 0.726 -3.34634 1.64893 -4.99527
1120 1.10104 0.524858 0.726 -3.34763 1.65123 -4.99886
1140 1.1039 0.486866 0.726 -3.35199 1.65552 -5.00751
1160 1.10232 0.453486 0.726 -3.36036 1.65315 -5.01351
1180 1.09456 0.436564 0.726 -3.37255 1.64151 -5.01406
1200 1.08691 0.420917 0.726 -3.386 1.63003 -5.01603
1220 1.07452 0.437178 0.726 -3.39706 1.61146 -5.00852
1240 1.06675 0.446329 0.726 -3.40381 1.5998 -5.00361
1260 1.07466 0.396716 0.726 -3.40708 1.61166 -5.01874
1280 1.08118 0.359432 0.726 -3.40887 1.62144 -5.03031
1300 1.07746 0.374016 0.726 -3.41032 1.61586 -5.02618
1320 1.06975 0.412478 0.726 -3.41122 1.60431 -5.01553
1340 1.06951 0.423786 0.726 -3.41094 1.60394 -5.01489
