# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5000
  1 11.2368 122.896 0.997599
  2 12.3905 126.415 0.993584
  3 13.5442 125.092 0.987109
  4 14.6978 120.365 1.03129
  5 15.8515 123.66 1.00538
  6 17.0051 124.602 1.00206
  7 18.1588 122.445 1.03651
  8 19.3125 123.145 1.02717
  9 20.4661 123.919 1.03897
  10 21.6198 125.188 1.00848
  11 22.7734 126.831 0.981991
  12 23.9271 125.317 0.943944
  13 25.0807 124.264 0.974162
  14 26.2344 126.659 0.978462
  15 27.3881 127.329 0.941503
  16 28.5417 127.091 0.926834
  17 29.6954 126.003 0.937548
  18 30.849 126.395 0.944152
  19 32.0027 128.962 0.909221
  20 33.1564 125.482 0.935951
  21 34.31 125.569 0.954644
  22 35.4637 123.131 1.02262
  23 36.6173 125.106 0.960443
  24 37.771 122.726 0.987971
  25 38.9247 125.504 0.984979
  26 40.0783 124.787 0.988053
  27 41.232 124.849 0.946359
  28 42.3856 126.381 0.948468
  29 43.5393 129.308 0.953785
  30 44.693 125.231 0.973912
  31 45.8466 127.075 0.962872
  32 47.0003 125.171 0.999425
  33 48.1539 125.157 0.981082
  34 49.3076 122.708 1.00408
  35 50.4612 125.038 0.98677
  36 51.6149 125.23 1.00385
  37 52.7686 122.571 1.01935
  38 53.9222 122.915 1.00952
  39 55.0759 125.485 1.00866
  40 56.2295 124.001 1.01795
10000 40 5000
  1 11.2368 122.251 0.993702
  2 12.3905 122.772 1.00615
  3 13.5442 126.35 0.975739
  4 14.6978 123.632 1.02161
  5 15.8515 121.16 1.03215
  6 17.0051 123.083 1.03784
  7 18.1588 122.508 1.04259
  8 19.3125 122.828 1.02735
  9 20.4661 123.667 1.00974
  10 21.6198 125.163 0.974198
  11 22.7734 127.174 0.955278
  12 23.9271 125.524 0.948102
  13 25.0807 124.828 0.945184
  14 26.2344 127.788 0.956636
  15 27.3881 126.483 0.967548
  16 28.5417 128.665 0.987151
  17 29.6954 126.644 0.961382
  18 30.849 126.061 0.925526
  19 32.0027 127.293 0.927505
  20 33.1564 127.793 0.949843
  21 34.31 126.919 0.966711
  22 35.4637 124.902 0.97132
  23 36.6173 125.189 0.986266
  24 37.771 127.231 0.975146
  25 38.9247 124.086 1.0064
  26 40.0783 125.99 1.00227
  27 41.232 123.96 0.983048
  28 42.3856 125.61 0.960472
  29 43.5393 128.413 0.948848
  30 44.693 125.397 0.981875
  31 45.8466 123.298 1.00087
  32 47.0003 126.755 0.97061
  33 48.1539 126.969 0.976132
  34 49.3076 124.208 0.969797
  35 50.4612 123.57 0.986744
  36 51.6149 123.574 1.00824
  37 52.7686 121.399 1.03516
  38 53.9222 122.094 1.01715
  39 55.0759 123.766 1.0224
  40 56.2295 125.002 1.00464
15000 40 5000
  1 11.2368 124.512 1.01625
  2 12.3905 123.227 1.01281
  3 13.5442 124.168 1.01862
  4 14.6978 123.21 1.00475
  5 15.8515 122.968 1.02097
  6 17.0051 123.785 1.03545
  7 18.1588 125.155 1.04395
  8 19.3125 122.682 1.0283
  9 20.4661 127.706 0.981483
  10 21.6198 122.932 0.970816
  11 22.7734 125.351 0.97206
  12 23.9271 128.087 0.966787
  13 25.0807 123.72 0.934854
  14 26.2344 126.36 0.962139
  15 27.3881 127.958 0.945355
  16 28.5417 125.958 0.959895
  17 29.6954 126.833 0.941952
  18 30.849 125.587 0.963021
  19 32.0027 128.032 0.958604
  20 33.1564 125.737 0.970282
  21 34.31 125.595 0.945113
  22 35.4637 123.976 0.971416
  23 36.6173 124.952 0.969761
  24 37.771 125.949 0.954397
  25 38.9247 124.392 0.960695
  26 40.0783 124.574 0.967436
  27 41.232 124.095 0.984295
  28 42.3856 122.583 1.03263
  29 43.5393 126.378 0.964538
  30 44.693 126.669 0.966733
  31 45.8466 124.714 0.96673
  32 47.0003 125.466 0.980777
  33 48.1539 123.65 0.996013
  34 49.3076 124 0.973685
  35 50.4612 124.693 0.979242
  36 51.6149 124.723 0.998086
  37 52.7686 125.561 0.988696
  38 53.9222 124.828 1.00028
  39 55.0759 126.189 0.984569
  40 56.2295 123.047 1.00976
20000 40 5000
  1 11.2368 124.691 1.00982
  2 12.3905 125.628 1.02434
  3 13.5442 122.589 1.00946
  4 14.6978 120.595 1.00291
  5 15.8515 126.392 1.01592
  6 17.0051 124.369 1.02337
  7 18.1588 123.333 0.986812
  8 19.3125 123.781 0.974657
  9 20.4661 124.144 0.971959
  10 21.6198 126.125 0.960538
  11 22.7734 126.847 0.956113
  12 23.9271 127.348 0.968952
  13 25.0807 126.869 0.93611
  14 26.2344 124.304 0.983351
  15 27.3881 123.732 0.985285
  16 28.5417 127.196 0.946135
  17 29.6954 127.02 0.995736
  18 30.849 125.221 0.979143
  19 32.0027 124.98 0.964064
  20 33.1564 124.546 0.966299
  21 34.31 124.334 0.940976
  22 35.4637 126.52 0.943312
  23 36.6173 127.225 0.92323
  24 37.771 127.915 0.915166
  25 38.9247 124.381 0.969372
  26 40.0783 123.163 0.982637
  27 41.232 124.11 1.03563
  28 42.3856 124.888 1.01708
  29 43.5393 126.583 1.00165
  30 44.693 126.143 1.01397
  31 45.8466 123.874 1.00048
  32 47.0003 120.869 1.00144
  33 48.1539 126.353 1.00724
  34 49.3076 126.014 0.992055
  35 50.4612 125.339 0.994323
  36 51.6149 126.251 0.990893
  37 52.7686 124.968 0.958087
  38 53.9222 124.95 0.977602
  39 55.0759 122.665 1.00268
  40 56.2295 123.744 0.984675
25000 40 5000
  1 11.2368 121.524 1.03902
  2 12.3905 121.36 1.03571
  3 13.5442 123.244 1.02346
  4 14.6978 124.297 1.0068
  5 15.8515 121.701 1.02763
  6 17.0051 126.266 1.01294
  7 18.1588 124.341 1.02734
  8 19.3125 126.28 1.01125
  9 20.4661 122.722 0.997543
  10 21.6198 124.81 0.977644
  11 22.7734 127.03 0.956375
  12 23.9271 126.429 0.984747
  13 25.0807 126.973 0.988722
  14 26.2344 125.671 0.985824
  15 27.3881 125.269 0.979459
  16 28.5417 126.46 0.965247
  17 29.6954 125.537 0.989903
  18 30.849 126.069 0.977815
  19 32.0027 125.194 0.971206
  20 33.1564 126.335 0.969497
  21 34.31 127.169 0.947687
  22 35.4637 127.967 0.956922
  23 36.6173 125.684 0.959667
  24 37.771 128.007 0.952176
  25 38.9247 124.135 0.976535
  26 40.0783 124.542 0.951773
  27 41.232 126.509 0.963309
  28 42.3856 124.831 0.980195
  29 43.5393 125.845 1.00263
  30 44.693 123.489 1.00669
  31 45.8466 124.833 0.990203
  32 47.0003 124.408 1.02025
  33 48.1539 123.951 1.0448
  34 49.3076 122.242 1.0312
  35 50.4612 123.365 0.996523
  36 51.6149 125.508 0.97568
  37 52.7686 125.482 0.972372
  38 53.9222 123.58 0.995378
  39 55.0759 124.36 0.975558
  40 56.2295 126.582 0.968237
30000 40 5000
  1 11.2368 123.678 1.00874
  2 12.3905 124.317 0.98167
  3 13.5442 125.302 0.993958
  4 14.6978 122.065 1.03102
  5 15.8515 125.993 0.983823
  6 17.0051 126.605 0.953891
  7 18.1588 125.347 0.962456
  8 19.3125 123.156 0.995649
  9 20.4661 125.692 0.974951
  10 21.6198 123.645 1.01427
  11 22.7734 123.098 0.980542
  12 23.9271 124.682 0.989111
  13 25.0807 124.637 0.987431
  14 26.2344 126.232 0.971353
  15 27.3881 128.277 0.917274
  16 28.5417 124.457 0.919968
  17 29.6954 126.902 0.941799
  18 30.849 125.384 0.947065
  19 32.0027 127.744 0.949486
  20 33.1564 125.795 0.95714
  21 34.31 127.104 0.936077
  22 35.4637 124.258 0.976009
  23 36.6173 124.532 0.969785
  24 37.771 125.478 0.950112
  25 38.9247 125.583 0.972553
  26 40.0783 128.831 0.936637
  27 41.232 126.734 0.921558
  28 42.3856 122.924 0.982595
  29 43.5393 125.007 0.998604
  30 44.693 127.197 1.01696
  31 45.8466 122.839 0.966836
  32 47.0003 124.671 1.03382
  33 48.1539 122.515 1.02889
  34 49.3076 123.266 0.998203
  35 50.4612 124.826 0.990392
  36 51.6149 125.724 1.00404
  37 52.7686 124.398 0.984853
  38 53.9222 123.251 1.00599
  39 55.0759 123.609 1.02579
  40 56.2295 124.245 1.0232
35000 40 5000
  1 11.2368 124.411 0.990539
  2 12.3905 123.759 0.99896
  3 13.5442 123.259 0.988307
  4 14.6978 124.647 0.976443
  5 15.8515 125.01 0.986647
  6 17.0051 125.213 0.993031
  7 18.1588 125.239 0.979161
  8 19.3125 124.066 0.984859
  9 20.4661 121.761 0.985887
  10 21.6198 125.331 0.993168
  11 22.7734 125.922 1.00197
  12 23.9271 123.641 1.0096
  13 25.0807 127.825 0.983115
  14 26.2344 126.075 0.975095
  15 27.3881 126.541 0.950871
  16 28.5417 124.995 0.951764
  17 29.6954 130.093 0.921178
  18 30.849 127.801 0.915056
  19 32.0027 125.676 0.931126
  20 33.1564 124.116 0.962505
  21 34.31 127.066 0.97173
  22 35.4637 127.529 0.962947
  23 36.6173 124.597 0.958361
  24 37.771 126.551 0.948858
  25 38.9247 124.415 0.952059
  26 40.0783 128.539 0.965329
  27 41.232 125.868 0.998027
  28 42.3856 123.717 0.981329
  29 43.5393 125.416 0.98399
  30 44.693 126.973 0.961926
  31 45.8466 123.26 1.01327
  32 47.0003 122.388 0.989589
  33 48.1539 123.468 0.976505
  34 49.3076 123.298 0.970095
  35 50.4612 124.625 1.01576
  36 51.6149 123.775 1.0247
  37 52.7686 121.103 1.03754
  38 53.9222 122.481 1.01541
  39 55.0759 126.089 1.00253
  40 56.2295 123.458 1.01196
40000 40 5000
  1 11.2368 124.042 1.00293
  2 12.3905 123.388 1.00787
  3 13.5442 125.095 0.970293
  4 14.6978 124.64 1.00143
  5 15.8515 125.993 0.988102
  6 17.0051 126.751 0.960366
  7 18.1588 124.545 0.969375
  8 19.3125 124.173 0.997269
  9 20.4661 125.919 1.01568
  10 21.6198 123.021 1.01532
  11 22.7734 125.37 0.983982
  12 23.9271 125.696 0.96248
  13 25.0807 128.423 0.961082
  14 26.2344 127.604 0.941685
  15 27.3881 124.458 0.974609
  16 28.5417 126.118 0.957735
  17 29.6954 125.075 0.961567
  18 30.849 124.865 0.954133
  19 32.0027 126.308 0.953934
  20 33.1564 126.579 0.942873
  21 34.31 127.09 0.969198
  22 35.4637 126.733 0.957383
  23 36.6173 124.277 0.990588
  24 37.771 127.776 0.984928
  25 38.9247 126.234 0.999443
  26 40.0783 126.23 0.970999
  27 41.232 124.488 0.959824
  28 42.3856 125.314 0.992685
  29 43.5393 124.509 0.980738
  30 44.693 126.534 0.974251
  31 45.8466 123.356 0.980199
  32 47.0003 123.441 0.988476
  33 48.1539 123.884 1.00167
  34 49.3076 124.046 0.998512
  35 50.4612 123.829 0.974703
  36 51.6149 122.236 0.993105
  37 52.7686 121.903 1.02547
  38 53.9222 124.583 1.04402
  39 55.0759 122.946 1.01907
  40 56.2295 122.531 1.00313
45000 40 5000
  1 11.2368 122.217 1.00061
  2 12.3905 123.556 1.01059
  3 13.5442 122.483 1.01281
  4 14.6978 126.666 0.964434
  5 15.8515 125.488 0.973926
  6 17.0051 124.993 0.976783
  7 18.1588 124.628 0.964706
  8 19.3125 126.09 0.962032
  9 20.4661 126.256 0.967288
  10 21.6198 126.956 0.955633
  11 22.7734 123.888 0.954706
  12 23.9271 124.189 0.964476
  13 25.0807 129.033 0.958692
  14 26.2344 126.092 0.982237
  15 27.3881 123.841 0.97065
  16 28.5417 125.534 0.967638
  17 29.6954 126.312 0.974789
  18 30.849 125.099 0.944841
  19 32.0027 126.94 0.950622
  20 33.1564 125.741 0.97577
  21 34.31 125.794 0.943852
  22 35.4637 128.989 0.954627
  23 36.6173 125.719 0.963243
  24 37.771 124.902 0.967606
  25 38.9247 127.514 0.969984
  26 40.0783 125.965 0.988472
  27 41.232 123.463 0.963992
