# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vy
5000 20 5000
  1 0.025 254.824 -0.152287
  2 0.075 254.088 -0.138443
  3 0.125 258.946 -0.105419
  4 0.175 249.509 -0.0484059
  5 0.225 257.525 -0.0451692
  6 0.275 247.795 0.00993069
  7 0.325 246.225 0.0790806
  8 0.375 244.41 0.107982
  9 0.425 251.49 0.112322
  10 0.475 258.036 0.151033
  11 0.525 248.102 0.175259
  12 0.575 243.856 0.128331
  13 0.625 243.778 0.0242334
  14 0.675 237.748 0.0378732
  15 0.725 243.657 0.0422271
  16 0.775 247.261 0.0136479
  17 0.825 250.551 -0.0390441
  18 0.875 249.729 -0.079219
  19 0.925 257.84 -0.132116
  20 0.975 254.633 -0.118895
10000 20 5000
  1 0.025 255.188 -0.133641
  2 0.075 251.114 -0.0885031
  3 0.125 253.905 -0.0369942
  4 0.175 253.955 -0.0722662
  5 0.225 251.789 -0.0113408
  6 0.275 251.342 -0.0148926
  7 0.325 250.361 0.042705
  8 0.375 254.846 0.13315
  9 0.425 253.043 0.106664
  10 0.475 246.878 0.108312
  11 0.525 247.46 0.158144
  12 0.575 244.096 0.117504
  13 0.625 242.343 0.0692997
  14 0.675 235.393 0.0877636
  15 0.725 252.642 0.0167527
  16 0.775 251.65 -0.0351081
  17 0.825 252.891 -0.0914035
  18 0.875 248.984 -0.106373
  19 0.925 252.108 -0.121924
  20 0.975 250.012 -0.112043
15000 20 5000
  1 0.025 249.118 -0.1174
  2 0.075 257.846 -0.104612
  3 0.125 253.958 -0.0635334
  4 0.175 251.994 -0.0082675
  5 0.225 251.012 0.0201525
  6 0.275 248.565 0.0215767
  7 0.325 251.105 -0.0327014
  8 0.375 253.572 0.0202494
  9 0.425 248.924 0.0923185
  10 0.475 253.613 0.160698
  11 0.525 253.191 0.144607
  12 0.575 250.74 0.148229
  13 0.625 243.906 0.122075
  14 0.675 232.303 -0.00537091
  15 0.725 245.096 -0.0125469
  16 0.775 245.435 -0.0303595
  17 0.825 251.375 -0.0415434
  18 0.875 253.283 -0.0646796
  19 0.925 250.998 -0.106651
  20 0.975 253.965 -0.137139
20000 20 5000
  1 0.025 247.774 -0.126193
